team,stadium,city,lon,lat
Bayern München,Allianz Arena,München,11.624695,48.218791
RB Leipzig,Red Bull Arena,Dortmund,12.34827,51.345787
Borussia Dortmund,Signal Iduna Park,Leipzig,7.451767,51.492668
VfL Wolfsburg,Volkswagen Arena,Wolfsburg,10.803889,52.431944
Eintracht Frankfurt,Deutsche Bank Park,Frankfurt am Main,8.645415,50.068548
Bayer Leverkusen,BayArena,Leverkusen,7.002292,51.038196
1. FC Union Berlin,Stadion An der Alten Försterei,Berlin,13.568124,52.457391
Bor. Mönchengladbach,Borussia-Park,Mönchengladbach,6.385556,51.174444
VfB Stuttgart,Mercedes-Benz Arena,Stuttgart,9.231944,48.792222
SC Freiburg,Dreisamstadion,Freiburg,7.892903,47.988968
1899 Hoffenheim,Prezero-Arena,Sinsheim,8.887657,49.238014
1. FSV Mainz 05,Mewa Arena,Mainz,8.2243,49.98415
FC Augsburg,WWK-Arena,Augsburg,10.885996,48.323126
Hertha BSC,Olympiastadion Berlin,Berlin,13.239624,52.514628
Arminia Bielefeld,SchücoArena,Bielefeld,8.516944,52.031389
1. FC Köln,Rheinenergiestadion,Köln,6.875128,50.933454
Werder Bremen,Weserstadion,Bremen,8.837661,53.066435
FC Schalke 04,Veltins-Arena,Gelsenkirchen,7.067642,51.554474
